year,state,country,shape,duration,latitude,longtitude
2005,Arizona,us,other,30,33.4150000,-111.5488889
2005,Florida,us,oval,1800,25.9327778,-80.1627778
2005,California,us,egg,10,34.0522222,-118.2427778
2005,Pennsylvania,us,triangle,300,40.5030556,-78.6305556
2005,Tennessee,us,unknown,240,35.4491667,-86.7888889
2005,Florida,us,other,3600,25.9327778,-80.1627778
2005,Washington,us,light,1200,47.4158333,-120.2919444
2005,North Carolina,us,light,600,35.3186111,-82.4611111
2005,Minnesota,us,disk,300,46.3580556,-94.2005556
2006,Texas,us,diamond,3600,31.1911111,-95.2352778
2006,California,us,triangle,600,37.7750000,-122.4183333
2006,Georgia,us,unknown,10,34.8761111,-83.9583333
2006,Tennessee,us,light,600,35.2247222,-88.2491667
2006,Virginia,us,triangle,600,38.0683333,-78.8897222
2006,Oklahoma,us,other,360,34.6377778,-97.8172222
2006,Georgia,us,light,120,31.2133333,-82.3541667
2006,Texas,us,disk,300,33.5058333,-102.0086111
2006,Ohio,us,unknown,300,41.5200000,-81.4888889
2007,Oregon,us,light,14400,44.5366667,-122.9058333
2007,Georgia,us,changing,3600,33.5441667,-84.2338889
2007,Colorado,us,changing,2700,39.7391667,-104.9841667
2007,Florida,us,sphere,30,30.3319444,-81.6558333
2007,California,us,oval,600,33.7205556,-116.2147222
2007,New York,us,triangle,10800,42.1033333,-76.2625000
2007,Pennsylvania,us,circle,120,40.0063889,-75.7036111
2007,Texas,us,flash,3,30.2669444,-97.7427778
2007,Georgia,us,sphere,60,33.5394444,-83.8194444
2007,Georgia,us,unknown,3600,33.6675000,-84.0177778
2007,Florida,us,unknown,30,27.6383333,-80.3975000
2007,Florida,us,oval,120,27.2541667,-80.2300000
2007,Texas,us,formation,35,29.7630556,-95.3630556
2007,Minnesota,us,light,600,46.7833333,-92.1063889
2007,Colorado,us,circle,600,40.6800000,-102.8388889
2007,Pennsylvania,us,unknown,3600,41.1577778,-80.0888889
2007,Texas,us,other,4,33.4213889,-96.5769444
2007,Colorado,us,triangle,15,39.8855556,-104.9866667
2008,Minnesota,us,light,300,45.5113889,-92.9800000
2008,New York,us,circle,240,42.6291667,-73.8650000
2008,Nevada,us,disk,600,40.7138889,-116.1030556
2008,Indiana,us,formation,600,37.9747222,-87.5558333
2008,New York,us,oval,45,42.6525000,-73.7566667
2008,California,us,triangle,60,37.5483333,-121.9875000
2008,Arizona,us,triangle,900,32.7252778,-114.6236111
2008,Indiana,us,light,600,41.6833333,-86.2500000
2008,Minnesota,us,formation,10,43.8280556,-91.3038889
2008,Pennsylvania,us,oval,60,39.9522222,-75.1641667
2008,Washington,us,light,180,47.6063889,-122.3308333
2008,Colorado,us,light,300,38.2544444,-104.6086111
2008,Ohio,us,oval,900,39.1619444,-84.4569444
2008,California,us,disk,30,32.7152778,-117.1563889
2008,Wisconsin,us,circle,20,43.0730556,-89.4011111
2008,Ohio,us,sphere,60,40.4797222,-84.6283333
2009,Colorado,us,egg,60,38.8697222,-106.9872222
2009,Oklahoma,us,unknown,6,36.1538889,-95.9925000
2009,Arizona,us,unknown,180,34.1111111,-109.2908333
2009,Virginia,us,unknown,900,36.7280556,-76.5838889
2009,California,us,light,300,33.8352778,-117.9136111
2009,North Carolina,us,light,600,34.2255556,-77.9450000
2009,Virginia,us,disk,300,39.1155556,-77.5638889
2009,Indiana,us,changing,900,41.7075000,-86.8950000
2009,California,us,light,180,37.3230556,-122.0311111
2010,New York,us,light,7200,42.7675000,-78.7441667
2010,Pennsylvania,us,circle,240,40.2736111,-76.8847222
2010,Ohio,us,circle,180,41.5930556,-81.5269444
2010,South Carolina,us,formation,600,34.3769444,-82.6958333
2010,Connecticut,us,light,240,41.0263889,-73.6288889
2010,South Carolina,us,light,180,32.8544444,-79.9750000
2010,Virginia,us,cigar,15,38.7891667,-77.1875000
2010,Connecticut,us,light,600,41.1669444,-73.2052778
2010,Oregon,us,triangle,120,45.4077778,-122.5691667
2010,Texas,us,oval,60,31.4636111,-100.4366667
2010,Connecticut,us,fireball,5,41.8525000,-72.6441667
2010,Illinois,us,cylinder,600,41.7886111,-89.6961111
2010,Washington,us,other,30,47.9791667,-122.2008333
2010,Arizona,us,disk,7200,35.8752778,-110.6197222
2010,New York,us,circle,10,42.6525000,-73.7566667
2010,California,us,egg,7200,33.7738889,-117.9405556
2010,Florida,us,changing,1200,25.7738889,-80.1938889
2011,New York,us,triangle,7200,42.7283333,-73.6922222
2011,New Mexico,us,circle,300,36.7280556,-108.2180556
2011,Arizona,us,other,300,34.6100000,-112.3150000
2011,New York,us,circle,60,42.0963889,-79.3758333
2011,Rhode Island,us,oval,40,41.5500000,-71.4666667
2011,Connecticut,us,disk,5,41.3500000,-72.0788889
2011,Virginia,us,light,300,37.6086111,-77.3736111
2011,Connecticut,us,fireball,1200,41.5622222,-72.6511111
2011,Ohio,us,fireball,60,41.4819444,-81.7983333
2011,Pennsylvania,us,circle,15,39.9625000,-76.7280556
2011,Nebraska,us,circle,3,41.1238889,-100.7650000
2011,Ohio,us,triangle,90,39.5297222,-84.0866667
2012,Connecticut,us,circle,630,41.1669444,-73.2052778
2012,California,us,sphere,240,32.7152778,-117.1563889
2012,Michigan,us,oval,120,42.5802778,-83.0302778
2012,New York,us,light,900,43.0480556,-76.1477778
2012,New York,us,circle,240,43.0480556,-76.1477778
2012,Colorado,us,light,20,38.8338889,-104.8208333
2012,Alabama,us,changing,240,32.9975000,-87.6300000
2012,New York,us,disk,1800,40.7141667,-74.0063889
2012,New Mexico,us,fireball,120,32.3122222,-106.7777778
2012,Illinois,us,light,240,37.7305556,-88.9330556
2012,California,us,other,6,37.3394444,-121.8938889
2012,Arizona,us,sphere,300,33.4483333,-112.0733333
2012,Washington,us,light,240,46.6022222,-120.5047222
2012,Texas,us,changing,1200,30.2669444,-97.7427778
2012,Tennessee,us,cigar,180,36.3436111,-83.2841667
2012,Washington,us,light,600,46.8219444,-123.0950000
2012,New York,us,cylinder,20,41.1147222,-74.1500000
2012,California,us,rectangle,5,33.7397222,-116.4119444
2013,Florida,us,chevron,5,28.0777778,-82.7638889
2013,Missouri,us,light,10800,38.6272222,-90.1977778
2013,Ohio,us,light,60,40.9780556,-81.7822222
2013,Vermont,us,light,120,44.4905556,-73.1113889
2013,Louisiana,us,circle,600,29.9938889,-90.2416667
2013,Ohio,us,circle,300,39.7463889,-84.2866667
2013,New Hampshire,us,light,5,42.7647222,-71.4402778
2013,Michigan,us,light,1200,42.9275000,-83.6300000
2013,Minnesota,us,circle,60,44.7791667,-93.3361111
2013,Michigan,us,sphere,45,42.4775000,-83.0277778
2013,Michigan,us,triangle,180,42.3086111,-83.4822222
2013,West Virginia,us,triangle,45,39.1611111,-80.3522222
2013,New Hampshire,us,light,1,42.7647222,-71.4402778
1973,Florida,us,egg,14400,26.9338889,-80.0944444
1978,Michigan,us,circle,300,42.5294444,-83.7802778
1987,Minnesota,us,light,30,44.9133333,-93.5030556
1987,Missouri,us,fireball,60,38.3708333,-90.5002778
1989,Illinois,us,sphere,180,41.2455556,-89.9247222
1989,Illinois,us,sphere,300,41.2455556,-89.9247222
1992,New Mexico,us,sphere,900,35.0844444,-106.6505556
1994,New Jersey,us,triangle,300,39.7763889,-74.8627778
1994,California,us,chevron,4,33.9533333,-117.3952778
1995,New York,us,other,720,40.7141667,-74.0063889
1995,West Virginia,us,other,120,38.4191667,-82.4452778
1996,Virginia,us,light,60,36.6336111,-81.7838889
1998,California,us,other,3600,37.5422222,-122.5150000
1998,Puerto Rico,us,cigar,120,18.4463889,-66.3880556
1998,Tennessee,us,light,10,36.5452778,-82.6611111
1998,Indiana,us,sphere,14400,39.7944444,-87.3958333
1998,Maine,us,sphere,30,44.3875000,-68.2044444
1998,California,us,fireball,4,38.4088889,-121.3705556
1999,Alabama,us,light,180,32.3666667,-86.3000000
1999,California,us,light,300,34.0522222,-118.2427778
1999,Michigan,us,oval,600,41.9438889,-85.6325000
1999,Oregon,us,light,10,45.2630556,-122.6913889
1999,New York,us,oval,30,42.0386111,-78.3411111
1999,New York,us,oval,30,42.0386111,-78.3411111
1999,New York,us,oval,60,42.0386111,-78.3411111
1999,New York,us,oval,60,42.0386111,-78.3411111
1999,Missouri,us,other,5400,36.6230556,-93.1638889
1999,Nevada,us,cigar,2,40.9730556,-117.7347222
1999,Oregon,us,triangle,45,42.1947222,-122.7083333
1999,Kansas,us,light,600,37.6866667,-96.9763889
1999,Texas,us,light,3600,30.3880556,-95.6961111
1999,Arkansas,us,light,900,36.4011111,-93.7377778
1999,Illinois,us,disk,600,41.9316667,-87.9888889
2000,New York,us,light,30,43.9747222,-75.9111111
2000,California,us,light,30,38.7138889,-121.4616667
2000,California,us,light,1500,33.9791667,-118.0319444
2001,Wisconsin,us,light,10800,45.1244444,-92.6733333
2001,Alaska,us,other,1800,64.8377778,-147.7163889
2001,Colorado,us,light,900,39.7391667,-104.9841667
2001,Mississippi,us,teardrop,300,31.2516667,-89.8375000
2001,California,us,triangle,60,39.2191667,-121.0600000
2001,Ohio,us,teardrop,300,40.7425000,-84.1052778
2002,Missouri,us,fireball,6,37.2152778,-93.2980556
2002,Nevada,us,sphere,600,39.5297222,-119.8127778
2002,Massachusetts,us,cylinder,300,42.1625000,-71.0416667
2002,Texas,us,fireball,3,32.7833333,-96.8000000
2003,California,us,other,172800,32.7152778,-117.1563889
2003,Minnesota,us,circle,5,43.6666667,-92.9744444
2003,New York,us,egg,120,40.7141667,-74.0063889
2003,California,us,sphere,3,39.3280556,-120.1822222
2003,Michigan,us,circle,40,43.4197222,-85.8000000
2003,California,us,light,600,38.7297222,-120.7975000
2003,Colorado,us,unknown,10,40.0991667,-104.9366667
2003,Indiana,us,disk,180,39.1652778,-86.5263889
2003,Missouri,us,chevron,600,39.0911111,-94.4152778
2004,Hawaii,us,triangle,3,21.3069444,-157.8583333
2004,California,us,rectangle,20,34.0522222,-118.2427778
2004,Oregon,us,light,20,44.9194444,-123.3158333
2004,New Jersey,us,other,7200,39.7327778,-75.1319444
2004,California,us,light,15,37.3394444,-121.8938889
2004,California,us,formation,2700,36.6777778,-121.6544444
2004,California,us,circle,60,35.1186111,-120.5897222
2004,California,us,rectangle,120,36.7477778,-119.7713889
2004,Texas,us,fireball,1351,27.5061111,-99.5072222
2004,Florida,us,formation,7200,26.6155556,-80.0572222
2004,New York,us,light,540,42.9638889,-78.7380556
2005,Florida,us,light,180,28.1875000,-82.7397222
2005,Minnesota,us,circle,7200,44.8041667,-93.1666667
2005,Utah,us,light,720,40.6808333,-112.2622222
2005,Arizona,us,light,5400,33.5805556,-112.2366667
2005,Arizona,us,formation,1800,33.3702778,-112.5830556
2005,Arizona,us,light,1800,32.8794444,-111.7566667
2005,Arizona,us,triangle,3,33.4147222,-111.9086111
2005,Alabama,us,light,1800,30.6941667,-88.0430556
2005,New Jersey,us,oval,300,40.8527778,-74.0425000
2005,Iowa,us,light,10,42.2711111,-95.0927778
2006,Tennessee,us,disk,13,36.1658333,-86.7844444
2006,Washington,us,unknown,120,47.8211111,-122.3138889
2006,California,us,fireball,120,34.0625000,-118.1219444
2006,Minnesota,us,light,600,47.0227778,-91.6705556
2006,Florida,us,diamond,3600,30.4211111,-87.2169444
2006,Florida,us,light,900,30.6322222,-87.0397222
2006,California,us,circle,3,34.2241667,-118.2391667
2006,Oklahoma,us,light,60,36.3955556,-97.8780556
2006,Texas,us,triangle,60,35.5361111,-100.9594444
2006,New York,us,oval,120,43.2127778,-75.4561111
2007,Kentucky,us,oval,360,39.0297222,-84.3663889
2007,Oregon,us,cylinder,900,45.2944444,-123.1752778
2007,Oregon,us,circle,900,45.4077778,-122.5691667
2007,Washington,us,triangle,10,47.6063889,-122.3308333
2007,South Carolina,us,light,1800,35.0241667,-81.0280556
2007,Alabama,us,disk,1800,30.2458333,-87.7008333
2008,Texas,us,disk,3,25.9013889,-97.4972222
2008,California,us,light,180,37.9780556,-122.0300000
