2005 pa us triangle 300 40.5030556 -78.6305556
2005 tn us unknown 240 35.4491667 -86.7888889
2005 fl us other 3600 25.9327778 -80.1627778
2005 wa us light 1200 47.4158333 -120.2919444
2005 nc us light 600 35.3186111 -82.4611111
2005 mn us disk 300 46.3580556 -94.2005556
2006 tx us diamond 3600 31.1911111 -95.2352778
2006 ca us triangle 600 37.7750000 -122.4183333
2006 ga us unknown 10 34.8761111 -83.9583333
2006 tn us light 600 35.2247222 -88.2491667
2006 va us triangle 600 38.0683333 -78.8897222
2006 ok us other 360 34.6377778 -97.8172222
2006 ga us light 120 31.2133333 -82.3541667
2006 tx us disk 300 33.5058333 -102.0086111
2006 oh us unknown 300 41.5200000 -81.4888889
2007 or us light 14400 44.5366667 -122.9058333
2007 ga us changing 3600 33.5441667 -84.2338889
2007 co us changing 2700 39.7391667 -104.9841667
2007 fl us sphere 30 30.3319444 -81.6558333
2007 ca us oval 600 33.7205556 -116.2147222
2007 ny us triangle 10800 42.1033333 -76.2625000
2007 pa us circle 120 40.0063889 -75.7036111
2007 tx us flash 3 30.2669444 -97.7427778
2007 ga us sphere 60 33.5394444 -83.8194444
2007 ga us unknown 3600 33.6675000 -84.0177778
2007 fl us unknown 30 27.6383333 -80.3975000
2007 fl us oval 120 27.2541667 -80.2300000
2007 tx us formation 35 29.7630556 -95.3630556
2007 mn us light 600 46.7833333 -92.1063889
2007 co us circle 600 40.6800000 -102.8388889
2007 pa us unknown 3600 41.1577778 -80.0888889
2007 tx us other 4 33.4213889 -96.5769444
2007 co us triangle 15 39.8855556 -104.9866667
2008 mn us light 300 45.5113889 -92.9800000
2008 ny us circle 240 42.6291667 -73.8650000
2008 nv us disk 600 40.7138889 -116.1030556
2008 in us formation 600 37.9747222 -87.5558333
2008 ny us oval 45 42.6525000 -73.7566667
2008 ca us triangle 60 37.5483333 -121.9875000
2008 az us triangle 900 32.7252778 -114.6236111
2008 in us light 600 41.6833333 -86.2500000
2008 mn us formation 10 43.8280556 -91.3038889
2008 pa us oval 60 39.9522222 -75.1641667
2008 wa us light 180 47.6063889 -122.3308333
2008 co us light 300 38.2544444 -104.6086111
2008 oh us oval 900 39.1619444 -84.4569444
2008 ca us disk 30 32.7152778 -117.1563889
2008 wi us circle 20 43.0730556 -89.4011111
2008 oh us sphere 60 40.4797222 -84.6283333
2009 co us egg 60 38.8697222 -106.9872222
2009 ok us unknown 6 36.1538889 -95.9925000
2009 az us unknown 180 34.1111111 -109.2908333
2009 va us unknown 900 36.7280556 -76.5838889
2009 ca us light 300 33.8352778 -117.9136111
2009 nc us light 600 34.2255556 -77.9450000
2009 va us disk 300 39.1155556 -77.5638889
2009 in us changing 900 41.7075000 -86.8950000
2009 ca us light 180 37.3230556 -122.0311111
2010 ny us light 7200 42.7675000 -78.7441667
2010 pa us circle 240 40.2736111 -76.8847222
2010 oh us circle 180 41.5930556 -81.5269444
2010 sc us formation 600 34.3769444 -82.6958333
2010 ct us light 240 41.0263889 -73.6288889
2010 sc us light 180 32.8544444 -79.9750000
2010 va us cigar 15 38.7891667 -77.1875000
2010 ct us light 600 41.1669444 -73.2052778
2010 or us triangle 120 45.4077778 -122.5691667
2010 tx us oval 60 31.4636111 -100.4366667
2010 ct us fireball 5 41.8525000 -72.6441667
2010 il us cylinder 600 41.7886111 -89.6961111
2010 wa us other 30 47.9791667 -122.2008333
2010 az us disk 7200 35.8752778 -110.6197222
2010 ny us circle 10 42.6525000 -73.7566667
2010 ca us egg 7200 33.7738889 -117.9405556
2010 fl us changing 1200 25.7738889 -80.1938889
2011 ny us triangle 7200 42.7283333 -73.6922222
2011 nm us circle 300 36.7280556 -108.2180556
2011 az us other 300 34.6100000 -112.3150000
2011 ny us circle 60 42.0963889 -79.3758333
2011 ri us oval 40 41.5500000 -71.4666667
2011 ct us disk 5 41.3500000 -72.0788889
2011 va us light 300 37.6086111 -77.3736111
2011 ct us fireball 1200 41.5622222 -72.6511111
2011 oh us fireball 60 41.4819444 -81.7983333
